Date,Time,CO,TinOxide,Benzene,Titanium,NO2,TungstenOxide,IndiumOxide,Temperature,RelativeHumidity,AbsoluteHumidity
12/03/2004,14.00.00,2.7,1287,12.8,1078,123,1660,1061,16.3,35.7,0.656
12/03/2004,15.00.00,2.9,1353,14.2,1122,126,1740,1139,15.8,37,0.661
12/03/2004,16.00.00,2.8,1309,12.7,1073,120,1657,1112,15.9,37.2,0.6657
12/03/2004,17.00.00,2.4,1274,11.7,1041,119,1610,994,16.9,34.3,0.6549
12/03/2004,18.00.00,3.9,1510,19.3,1277,149,1910,1410,15.1,39.6,0.6766
12/03/2004,19.00.00,3.7,1525,18.2,1246,145,1847,1448,14.4,43.4,0.7084
12/03/2004,20.00.00,6.6,1843,32.6,1610,170,2390,1887,12.9,50.5,0.7478
12/03/2004,21.00.00,4.4,1598,20.1,1299,149,1941,1627,12.1,53.3,0.7536
12/03/2004,22.00.00,3.5,1484,14.3,1127,139,1723,1491,11,59.1,0.774
12/03/2004,23.00.00,5.4,1677,21.8,1346,134,2062,1657,9.7,64.6,0.7771
13/03/2004,00.00.00,2.7,1280,9.6,964,113,1544,1285,9.5,64.1,0.7597
13/03/2004,01.00.00,1.9,1196,7.4,873,97,1463,1144,9.1,63.9,0.7423
13/03/2004,02.00.00,1.6,1184,5.4,782,82,1365,1043,8.8,63.9,0.7256
13/03/2004,03.00.00,1.7,1172,5.4,783,-200,1380,996,7.8,67.5,0.7173
13/03/2004,04.00.00,-200,1147,6.2,821,83,1412,992,7,71.1,0.7158
13/03/2004,05.00.00,1,978,2.6,625,65,1274,819,8.3,63.6,0.6982
13/03/2004,06.00.00,1.2,1100,2.9,646,60,1268,835,7.2,67.5,0.6887
13/03/2004,07.00.00,1.5,1112,5.1,770,77,1409,940,6.3,71.9,0.6932
13/03/2004,08.00.00,2.7,1336,11.8,1043,96,1678,1192,6.5,71.6,0.6945
13/03/2004,09.00.00,3.7,1408,15.1,1153,119,1777,1411,9.6,59.7,0.7124
13/03/2004,10.00.00,3.2,1447,12.9,1081,126,1667,1465,12.4,51.2,0.7335
13/03/2004,11.00.00,4.1,1542,16.1,1184,158,1780,1583,15.6,42.2,0.7451
13/03/2004,12.00.00,3.6,1451,14,1117,161,1679,1387,18.4,33.8,0.709
13/03/2004,13.00.00,2.8,1328,12.3,1059,124,1600,1101,19.4,31.3,0.695
13/03/2004,14.00.00,2,1207,8.6,924,102,1488,850,18,34.8,0.7127
13/03/2004,15.00.00,2,1240,9.2,947,116,1532,947,18.4,33.6,0.7042
13/03/2004,16.00.00,2.5,1306,10.2,987,124,1554,1078,17.6,35.1,0.7012
13/03/2004,17.00.00,2.3,1326,10.6,1000,125,1602,1084,16.7,37.8,0.7117
13/03/2004,18.00.00,3.2,1473,15.5,1163,148,1779,1395,16.1,41,0.7451
13/03/2004,19.00.00,4.2,1609,19.6,1286,165,1922,1612,15.8,42.4,0.7569
13/03/2004,20.00.00,4.2,1611,19.2,1274,161,1915,1697,15.7,44.1,0.7786
13/03/2004,21.00.00,4.2,1621,18.3,1247,159,1860,1886,15.3,46.8,0.8091
13/03/2004,22.00.00,3.1,1444,13.1,1089,143,1748,1624,14.6,48.6,0.806
13/03/2004,23.00.00,2.6,1418,10.9,1010,130,1603,1536,14.7,49.3,0.8193
14/03/2004,00.00.00,2.9,1534,11,1013,129,1611,1535,13.9,53.6,0.8498
14/03/2004,01.00.00,2.8,1484,11.9,1045,119,1624,1530,14.6,51.5,0.8536
14/03/2004,02.00.00,2.5,1367,8.6,925,104,1543,1337,12.5,58.9,0.8537
14/03/2004,03.00.00,2.4,1344,9.7,968,-200,1620,1278,11.6,63.4,0.8674
14/03/2004,04.00.00,-200,1130,5.2,773,82,1452,1051,12.1,61.1,0.8603
14/03/2004,05.00.00,1.2,1062,3.7,691,70,1377,929,11.5,63.1,0.8533
14/03/2004,06.00.00,1,1076,2.5,618,63,1333,872,11.6,62.2,0.8473
14/03/2004,07.00.00,0.9,1028,2.4,615,67,1340,853,10.4,67.6,0.853
14/03/2004,08.00.00,1.4,1155,4.2,722,84,1414,959,11.6,62.7,0.853
14/03/2004,09.00.00,1.6,1235,6.4,828,83,1527,1093,12.4,60,0.8627
14/03/2004,10.00.00,2.2,1332,8.6,923,98,1614,1225,14.5,53.1,0.8728
14/03/2004,11.00.00,2.8,1445,10.9,1009,114,1696,1355,16.9,46.1,0.8789
14/03/2004,12.00.00,2.8,1416,10.7,1002,119,1677,1262,19.3,38.3,0.8474
14/03/2004,13.00.00,2,1281,7.5,880,104,1525,980,21.2,31.4,0.7812
14/03/2004,14.00.00,1.8,1207,7.5,879,102,1490,872,21.4,30.2,0.7616
14/03/2004,15.00.00,1.9,1258,8.2,906,107,1511,900,21.9,29,0.7525
14/03/2004,16.00.00,3,1458,11.9,1045,129,1646,1099,22.2,28.4,0.7516
14/03/2004,17.00.00,2.9,1438,12,1051,128,1668,1206,21.3,30.8,0.7696
14/03/2004,18.00.00,2.5,1478,12.2,1055,121,1671,1262,19.7,36.7,0.8307
14/03/2004,19.00.00,4.6,1808,20.6,1312,157,1993,1698,18.4,41.7,0.8732
14/03/2004,20.00.00,5.9,1898,23.1,1381,173,2103,1905,17.6,46.1,0.921
14/03/2004,21.00.00,3.4,1560,14.7,1140,146,1818,1648,16.7,49.6,0.932
14/03/2004,22.00.00,2.1,1324,9,940,121,1587,1423,16.3,51,0.9341
14/03/2004,23.00.00,2.2,1349,8.8,933,119,1617,1349,14.7,55.9,0.9314
15/03/2004,00.00.00,1.8,1239,7.4,872,99,1547,1250,14.8,54.7,0.9164
15/03/2004,01.00.00,1.8,1239,6.9,853,93,1543,1174,14,57,0.9094
15/03/2004,02.00.00,1.8,1224,7,855,88,1566,1149,13.4,61.3,0.9361
15/03/2004,03.00.00,1.1,1078,4.4,734,-200,1487,1021,12.6,63.5,0.923
15/03/2004,04.00.00,-200,1078,4,711,71,1468,1013,12.3,65.4,0.9351
15/03/2004,05.00.00,1,1075,3.9,703,74,1464,1010,11.9,67.4,0.9375
15/03/2004,06.00.00,1.4,1157,6.4,830,80,1584,1083,11.4,70.5,0.9475
15/03/2004,07.00.00,2.2,1314,9.7,966,89,1710,1235,11.3,70.2,0.9401
15/03/2004,08.00.00,5.5,1797,25.9,1451,114,2323,1680,12.4,63.9,0.917
15/03/2004,09.00.00,8.1,1961,36.7,1701,149,2665,2184,14.8,54.3,0.9076
15/03/2004,10.00.00,5.8,1771,26.6,1470,157,2262,1973,17.4,45.6,0.8993
15/03/2004,11.00.00,4.2,1564,20.1,1300,155,2029,1798,19.8,38.5,0.8801
15/03/2004,12.00.00,3.1,1430,14.1,1120,134,1783,1522,22,34.1,0.8904
15/03/2004,13.00.00,2.9,1417,14.9,1146,119,1831,1404,23.3,32.2,0.9096
15/03/2004,14.00.00,2.9,1400,15.4,1162,111,1829,1263,23.9,30,0.8757
15/03/2004,15.00.00,2.5,1317,12.1,1053,104,1707,1137,24.4,28.9,0.8736
15/03/2004,16.00.00,2.3,1318,11.5,1033,99,1675,1068,24.4,29.4,0.8848
15/03/2004,17.00.00,2.8,1445,14.8,1141,110,1824,1252,23.8,31.3,0.9137
15/03/2004,18.00.00,6.1,1917,32.1,1601,162,2447,1843,22.5,35.4,0.9547
15/03/2004,19.00.00,8,2040,39.2,1754,187,2679,2122,20.4,42.5,1.0086
15/03/2004,20.00.00,6.5,1895,31,1573,165,2443,1992,18.3,52.6,1.0945
15/03/2004,21.00.00,4.2,1595,19.9,1294,145,2058,1707,16.7,57.4,1.0786
15/03/2004,22.00.00,3.2,1439,15.3,1159,125,1856,1494,15.7,60.2,1.0654
15/03/2004,23.00.00,1.4,1142,6.9,852,101,1547,1164,15.3,61.4,1.058
16/03/2004,00.00.00,2.1,1304,11.1,1019,103,1731,1272,14.1,65.7,1.0494
16/03/2004,01.00.00,1.2,1074,5.4,784,88,1483,1040,14.8,60.6,1.0148
16/03/2004,02.00.00,0.8,968,2.8,640,61,1386,867,14.8,59.2,0.9879
16/03/2004,03.00.00,0.7,929,2.3,608,-200,1364,826,13.6,62.1,0.9636
16/03/2004,04.00.00,-200,941,2.6,626,59,1373,840,12.3,66.2,0.945
16/03/2004,05.00.00,0.6,937,2,585,52,1348,793,12.8,63.2,0.9283
16/03/2004,06.00.00,0.9,1017,3.5,681,64,1418,870,11.2,68.5,0.9081
16/03/2004,07.00.00,1.3,1171,5.1,770,70,1467,930,11,66.5,0.8705
16/03/2004,08.00.00,3.4,1541,16.2,1185,97,1889,1407,11.7,63.7,0.8719
16/03/2004,09.00.00,3.7,1539,19.7,1287,95,2055,1507,13.6,56.3,0.8743
16/03/2004,10.00.00,5.3,1735,25.1,1431,150,2211,1843,17.8,42.9,0.8672
16/03/2004,11.00.00,4.1,1571,20,1297,162,1973,1729,21.4,33.3,0.8417
16/03/2004,12.00.00,3.3,1452,18.3,1250,154,1868,1583,24.4,27.4,0.8231
16/03/2004,13.00.00,4,1579,22.3,1359,161,1998,1671,25.3,26.1,0.8264
16/03/2004,14.00.00,3.8,1466,20.4,1309,161,1897,1491,25.8,23.2,0.7589
16/03/2004,15.00.00,2.8,1280,14.6,1136,128,1675,1240,27,20.2,0.7094
16/03/2004,16.00.00,2.9,1407,16.6,1197,129,1759,1313,28.2,18.6,0.7014
16/03/2004,17.00.00,2.9,1389,15.8,1173,133,1739,1363,28,19.1,0.7098
16/03/2004,18.00.00,3.4,1447,17.8,1235,139,1778,1296,23.9,25.7,0.7519
16/03/2004,19.00.00,3.9,1551,19.1,1271,137,1875,1432,21.3,34.8,0.873
16/03/2004,20.00.00,3.2,1474,15.8,1173,143,1776,1432,20.4,36.7,0.8704
16/03/2004,21.00.00,5.1,1800,24.9,1426,177,2106,2034,19,41.3,0.9007
16/03/2004,22.00.00,2.6,1379,13.5,1101,138,1710,1602,17.9,45.9,0.9342
16/03/2004,23.00.00,1.7,1201,9.1,943,117,1560,1362,16.7,48.9,0.9226
17/03/2004,00.00.00,1.7,1205,8.6,925,107,1547,1314,15.5,52.9,0.9271
17/03/2004,01.00.00,1.2,1072,5.4,784,90,1442,1114,15.5,51.9,0.9059
17/03/2004,02.00.00,0.9,998,4.1,714,79,1383,992,14.1,55.6,0.891
17/03/2004,03.00.00,0.7,933,2.6,625,-200,1332,884,13.1,57.9,0.8666
17/03/2004,04.00.00,-200,883,1.9,577,60,1303,808,12.7,57.9,0.8447
17/03/2004,05.00.00,0.5,869,1.6,554,40,1268,667,11.8,58,0.8026
17/03/2004,06.00.00,0.5,891,1.9,576,53,1289,733,11.9,57.4,0.7978
17/03/2004,07.00.00,1.6,1173,7.5,878,84,1556,1052,9.9,65.2,0.7956
17/03/2004,08.00.00,4.1,1587,21.4,1334,108,1999,1534,11.1,60.2,0.7958
17/03/2004,09.00.00,6.6,1852,36.4,1696,127,2535,1931,14.1,50,0.802
17/03/2004,10.00.00,4.3,1522,21.3,1331,134,2026,1734,17.7,40.1,0.8048
17/03/2004,11.00.00,2.9,1438,15.4,1161,135,1782,1595,21.1,33.4,0.8265
17/03/2004,12.00.00,2.5,1393,12.5,1067,142,1654,1490,24.3,28.3,0.8471
17/03/2004,13.00.00,2.8,1452,15.1,1152,153,1747,1508,25.6,25.6,0.8254
17/03/2004,14.00.00,2.6,1389,13.7,1108,123,1712,1334,25.9,25.9,0.8503
17/03/2004,15.00.00,2,1207,10.4,994,104,1520,1045,26.8,18.7,0.65
17/03/2004,16.00.00,2.9,1365,15.2,1154,129,1679,1221,29.3,15.8,0.6309
17/03/2004,17.00.00,2.5,1247,12.3,1060,114,1525,1069,28.5,14.9,0.5708
17/03/2004,18.00.00,5,1557,27,1478,158,1981,1569,25.9,16,0.5237
17/03/2004,19.00.00,7.6,1973,38.4,1737,194,2414,2306,23.1,26.5,0.7403
17/03/2004,20.00.00,6.7,1975,35.1,1667,182,2416,2359,20.5,38.2,0.9133
17/03/2004,21.00.00,5.7,1795,27.2,1485,180,2174,2050,19.1,42.6,0.9294
17/03/2004,22.00.00,2.8,1444,15,1150,136,1727,1727,17.2,44.1,0.8558
17/03/2004,23.00.00,2.6,1488,15.7,1171,127,1778,1705,16,50.9,0.9206
18/03/2004,00.00.00,2.3,1371,13,1083,116,1669,1551,14.8,53.9,0.9024
18/03/2004,01.00.00,1.4,1161,8.1,904,107,1502,1240,14.3,55.4,0.8975
18/03/2004,02.00.00,1,1064,5.5,787,88,1407,1115,14.8,52.1,0.8686
18/03/2004,03.00.00,0.7,970,3.6,687,-200,1351,969,13.9,53.9,0.8501
18/03/2004,04.00.00,-200,954,2.9,645,78,1334,925,11.6,61.9,0.8442
18/03/2004,05.00.00,0.6,931,2.5,623,57,1307,828,12,58.9,0.8233
18/03/2004,06.00.00,0.7,938,3,650,71,1333,893,10.9,62.1,0.8113
18/03/2004,07.00.00,1.5,1166,7.7,885,85,1551,1075,10.6,63.3,0.8067
18/03/2004,08.00.00,4.7,1643,23.3,1384,124,2094,1610,11.5,60,0.8117
18/03/2004,09.00.00,6.6,1934,35.8,1682,151,2468,2051,14.3,50.6,0.8186
18/03/2004,10.00.00,4.5,1617,21.3,1333,150,2010,1819,17.8,40.5,0.821
18/03/2004,11.00.00,2.8,1473,14.3,1127,152,1752,1568,20.8,34.4,0.8365
18/03/2004,12.00.00,2.2,1379,12.5,1068,139,1663,1374,23.8,28.2,0.8219
18/03/2004,13.00.00,2.2,1385,12.2,1056,133,1648,1268,24.2,28.7,0.8515
18/03/2004,14.00.00,2.3,1379,13.1,1087,126,1660,1144,25.2,24.9,0.7829
18/03/2004,15.00.00,2.2,1322,14.4,1129,128,1639,1109,27,17.8,0.6275
18/03/2004,16.00.00,2.8,1496,16.8,1205,169,1767,1347,27.1,23.1,0.818
18/03/2004,17.00.00,2.7,1409,14.5,1131,149,1689,1206,25.8,23.9,0.7832
18/03/2004,18.00.00,3.7,1513,21.5,1338,156,1957,1397,23,26.8,0.7446
18/03/2004,19.00.00,5.1,1667,26.4,1464,168,2118,1588,20.7,31.1,0.7523
18/03/2004,20.00.00,5.1,1667,26,1453,176,2051,1569,18.6,36.2,0.7676
18/03/2004,21.00.00,3.2,1430,14.1,1121,135,1732,1322,16,48.4,0.8768
18/03/2004,22.00.00,2.1,1333,10.3,989,121,1621,1194,14.5,57.8,0.9456
18/03/2004,23.00.00,1.7,1262,8.3,911,99,1545,1062,13.1,64.2,0.9606
19/03/2004,00.00.00,2,1287,8.9,936,106,1606,1040,12,69.7,0.9735
19/03/2004,01.00.00,1.6,1134,6.6,840,96,1501,917,11.9,71.1,0.9915
19/03/2004,02.00.00,0.9,999,3.6,688,63,1380,594,12.5,69.3,1.0029
19/03/2004,03.00.00,0.7,961,2.5,622,-200,1301,430,12.5,67.5,0.9768
19/03/2004,04.00.00,-200,934,1.8,569,32,1280,397,12.3,67.7,0.9665
19/03/2004,05.00.00,0.5,913,1.3,525,28,1260,370,12.5,66.8,0.962
19/03/2004,06.00.00,0.7,969,2.3,607,61,1324,438,12.3,66.3,0.9487
19/03/2004,07.00.00,1.5,1182,6.7,845,99,1539,704,12.4,64.9,0.9332
19/03/2004,08.00.00,4.8,1740,22.8,1372,157,2144,1476,13,61.6,0.9209
19/03/2004,09.00.00,6.2,1819,31.3,1582,166,2456,1716,13.6,58.8,0.912
19/03/2004,10.00.00,4,1427,19.2,1275,149,1980,1398,13.9,57.1,0.9032
19/03/2004,11.00.00,3.3,1390,16.4,1191,135,1879,1268,14.5,54.4,0.8917
19/03/2004,12.00.00,2.8,1283,14,1117,127,1751,1188,15.5,50.1,0.8744
19/03/2004,13.00.00,3,1304,15.3,1157,122,1801,1171,16.1,47.6,0.8655
19/03/2004,14.00.00,3.3,1364,16.7,1202,135,1875,1250,16.3,47.1,0.864
19/03/2004,15.00.00,3.5,1410,19,1268,139,1957,1344,16.4,47.5,0.8791
19/03/2004,16.00.00,4,1476,19.4,1280,147,1955,1378,16.1,50.2,0.9094
19/03/2004,17.00.00,4.6,1522,20.9,1320,158,2005,1435,16,50.7,0.9142
19/03/2004,18.00.00,4.1,1442,20.2,1301,146,1952,1372,15.8,50.3,0.8989
19/03/2004,19.00.00,4.5,1469,21.7,1344,144,1997,1471,15.5,50.6,0.884
19/03/2004,20.00.00,3.9,1467,19.8,1292,138,1942,1439,15.4,51.4,0.8956
19/03/2004,21.00.00,4,1421,16.7,1202,143,1854,1429,15.2,53.1,0.9117
19/03/2004,22.00.00,2.2,1175,9.1,945,116,1604,1081,14.7,57.6,0.9573
19/03/2004,23.00.00,2.1,1215,8.3,912,109,1547,993,14.2,58.3,0.938
20/03/2004,00.00.00,1.7,1127,5.8,802,92,1447,837,13.8,57.9,0.9085
20/03/2004,01.00.00,1.6,1090,5.2,773,83,1429,761,13.9,55.9,0.8842
20/03/2004,02.00.00,1.3,1017,4.1,718,81,1382,650,13.9,55.6,0.8765
20/03/2004,03.00.00,1.3,997,3.4,677,-200,1359,591,13.8,55.1,0.8666
20/03/2004,04.00.00,-200,945,2.9,646,55,1332,505,13.8,54.6,0.8574
20/03/2004,05.00.00,0.8,956,3.1,661,53,1351,518,13.6,55.1,0.856
20/03/2004,06.00.00,0.8,966,2.5,622,67,1342,571,13.6,59,0.9129
20/03/2004,07.00.00,1.1,1064,4.3,728,91,1461,842,13.5,58.4,0.896
20/03/2004,08.00.00,2.1,1300,8.9,935,113,1623,1145,13.8,58,0.9083
20/03/2004,09.00.00,2.4,1348,10.5,998,102,1689,1218,14.6,53.1,0.8765
20/03/2004,10.00.00,2.6,1425,12.5,1068,107,1764,1341,15,52.3,0.8881
20/03/2004,11.00.00,2.8,1474,12.3,1061,113,1768,1406,15.4,52.1,0.9046
20/03/2004,12.00.00,2.6,1490,11.7,1039,108,1757,1422,16.3,50,0.9158
20/03/2004,13.00.00,2.6,1495,11.7,1040,105,1735,1373,17.1,47.9,0.9281
20/03/2004,14.00.00,2.1,1376,9.3,953,93,1636,1153,19,42.9,0.937
20/03/2004,15.00.00,1.7,1305,7.6,884,87,1573,927,19.5,42.3,0.9476
20/03/2004,16.00.00,1.6,1283,6.7,844,76,1539,766,19.5,42.3,0.9493
20/03/2004,17.00.00,2.1,1392,9.7,967,94,1649,941,19.1,43.8,0.9556
20/03/2004,18.00.00,2.3,1452,12.4,1063,110,1774,1146,18.5,46.3,0.9744
20/03/2004,19.00.00,3.5,1633,16.6,1199,136,1919,1417,17.4,51.6,1.0159
20/03/2004,20.00.00,3.9,1625,16.4,1191,139,1885,1442,17.1,51.3,0.9914
20/03/2004,21.00.00,3.3,1535,13.7,1108,125,1820,1323,16.4,53.8,0.9964
20/03/2004,22.00.00,2.3,1323,9.9,973,111,1712,1125,16.2,55.4,1.0132
20/03/2004,23.00.00,2.1,1309,8.9,937,97,1672,1036,15.9,57.7,1.0356
21/03/2004,00.00.00,2.8,1456,10.6,999,107,1714,1202,15.7,58.6,1.0396
21/03/2004,01.00.00,2.1,1300,7.4,872,90,1577,1054,15.1,60.9,1.0398
21/03/2004,02.00.00,1.6,1203,6.2,823,84,1526,903,15.6,56.6,0.9951
21/03/2004,03.00.00,1.6,1195,6.5,836,-200,1554,885,15.2,57.9,0.9941
21/03/2004,04.00.00,-200,1117,5.8,802,87,1539,818,15.4,57.8,1.0021
21/03/2004,05.00.00,1.1,1062,4,711,66,1461,700,14.9,60.6,1.0196
21/03/2004,06.00.00,0.7,947,2.1,594,36,1390,580,14.5,63,1.0316
21/03/2004,07.00.00,0.8,1065,3.6,687,62,1492,815,14.2,66.2,1.063
21/03/2004,08.00.00,1.2,1155,4.4,734,91,1528,1035,14.5,65.3,1.0704
21/03/2004,09.00.00,1.4,1220,5.4,782,89,1560,1067,15.3,62.1,1.073
21/03/2004,10.00.00,1.7,1301,7.1,862,93,1633,1114,16.3,59,1.0868
21/03/2004,11.00.00,1.8,1279,7.3,870,81,1646,1000,18.9,49.6,1.07
21/03/2004,12.00.00,1.8,1267,7.6,883,82,1617,906,19.4,46.1,1.0249
21/03/2004,13.00.00,1.9,1239,6.8,848,80,1568,822,20.8,41.6,1.0091
21/03/2004,14.00.00,1.3,1128,4.6,742,48,1507,610,21.4,40.3,1.0126
21/03/2004,15.00.00,1.6,1243,8.4,916,61,1669,657,21.2,39.3,0.9791
21/03/2004,16.00.00,1.9,1208,6.9,853,89,1506,647,20.3,38,0.8942
21/03/2004,17.00.00,2.3,1306,9,938,105,1607,762,19.4,41.3,0.9206
21/03/2004,18.00.00,3.8,1546,15.1,1151,116,1874,1122,18.5,43.8,0.9252
21/03/2004,19.00.00,3.5,1501,12.6,1071,119,1744,1130,17.8,48.1,0.9689
21/03/2004,20.00.00,4.3,1605,15.1,1153,144,1840,1637,17.9,46.9,0.952
21/03/2004,21.00.00,2.8,1316,9.9,974,123,1673,1272,17.4,49.1,0.9688
21/03/2004,22.00.00,1.9,1195,8,898,105,1594,1098,17,51.7,0.9914
21/03/2004,23.00.00,1.9,1211,7.9,896,93,1624,1066,16.4,55.1,1.0198
22/03/2004,00.00.00,1.7,1161,6.1,815,86,1582,909,16.1,60,1.0919
22/03/2004,01.00.00,1.5,1095,5.1,767,76,1547,818,15.8,60.5,1.0805
22/03/2004,02.00.00,0.6,897,1.7,563,33,1355,472,16.3,57,1.0491
22/03/2004,03.00.00,0.4,842,0.7,468,-200,1274,394,16.9,53.9,1.0309
22/03/2004,04.00.00,-200,854,0.8,481,27,1304,396,16.1,55.9,1.0153
22/03/2004,05.00.00,0.3,845,0.7,472,23,1278,378,16.5,53.9,1.0049
22/03/2004,06.00.00,0.6,942,2,586,46,1373,432,16.4,54,0.9979
22/03/2004,07.00.00,1.2,1090,5.1,768,76,1538,699,15.7,57.6,1.0195
22/03/2004,08.00.00,3.6,1514,17.7,1230,116,1996,1252,15.8,53.7,0.9571
22/03/2004,09.00.00,3.7,1379,18.4,1252,115,1962,1237,17.4,42.1,0.8281
22/03/2004,10.00.00,1.8,1074,6.9,854,83,1484,772,17.9,38.4,0.7793
22/03/2004,11.00.00,1.6,1090,7.3,868,87,1509,766,18.5,36.7,0.7764
22/03/2004,12.00.00,1.9,1110,9.6,964,90,1577,829,21,29.6,0.7263
22/03/2004,13.00.00,2,1102,10.4,994,87,1599,783,21.3,28.1,0.7067
22/03/2004,14.00.00,2.2,1100,11.2,1021,99,1607,822,21.3,26.1,0.6539
22/03/2004,15.00.00,2.1,1094,10.7,1003,99,1574,813,21.3,26.8,0.6681
22/03/2004,16.00.00,2.3,1076,11.6,1034,101,1544,813,21.3,24.2,0.606
22/03/2004,17.00.00,2.6,1152,12.4,1062,103,1606,850,20.2,28.5,0.6682
22/03/2004,18.00.00,3.8,1407,18.3,1249,129,1932,1276,17,43.1,0.8264
22/03/2004,19.00.00,4.4,1438,21,1325,143,1993,1401,15.6,47.4,0.8347
22/03/2004,20.00.00,4.5,1425,21,1325,146,1965,1356,15.3,47.4,0.8178
22/03/2004,21.00.00,3.3,1279,14.5,1131,124,1758,1243,14.5,49.7,0.8177
22/03/2004,22.00.00,2,1132,8.4,916,113,1561,1083,13.9,52,0.8231
22/03/2004,23.00.00,1.1,1006,4.3,729,80,1370,795,14.5,49.4,0.8106
23/03/2004,00.00.00,0.9,982,3.8,700,72,1359,735,13.8,51.4,0.8071
23/03/2004,01.00.00,0.8,969,2.7,636,64,1309,684,14,51.3,0.8163
23/03/2004,02.00.00,0.7,941,2.5,621,70,1330,714,13,56.8,0.8444
23/03/2004,03.00.00,0.5,892,1.2,522,-200,1285,456,11,70,0.9215
23/03/2004,04.00.00,-200,855,0.8,478,31,1261,401,10.1,76.8,0.9483
23/03/2004,05.00.00,0.3,834,0.6,459,22,1212,361,8.8,80.5,0.9147
