FlowerId,FeatureNames,FeatureValues,Species
44,Sepal.Length.and.Width,5/3.5,setosa
45,Sepal.Length.and.Width,5.1/3.8,setosa
46,Sepal.Length.and.Width,4.8/3,setosa
47,Sepal.Length.and.Width,5.1/3.8,setosa
48,Sepal.Length.and.Width,4.6/3.2,setosa
49,Sepal.Length.and.Width,5.3/3.7,setosa
50,Sepal.Length.and.Width,5/3.3,setosa
51,Sepal.Length.and.Width,7/3.2,versicolor
52,Sepal.Length.and.Width,6.4/3.2,versicolor
53,Sepal.Length.and.Width,6.9/3.1,versicolor
54,Sepal.Length.and.Width,5.5/2.3,versicolor
55,Sepal.Length.and.Width,6.5/2.8,versicolor
56,Sepal.Length.and.Width,5.7/2.8,versicolor
57,Sepal.Length.and.Width,6.3/3.3,versicolor
58,Sepal.Length.and.Width,4.9/2.4,versicolor
59,Sepal.Length.and.Width,6.6/2.9,versicolor
60,Sepal.Length.and.Width,5.2/2.7,versicolor
61,Sepal.Length.and.Width,5/2,versicolor
62,Sepal.Length.and.Width,5.9/3,versicolor
63,Sepal.Length.and.Width,6/2.2,versicolor
64,Sepal.Length.and.Width,6.1/2.9,versicolor
65,Sepal.Length.and.Width,5.6/2.9,versicolor
66,Sepal.Length.and.Width,6.7/3.1,versicolor
67,Sepal.Length.and.Width,5.6/3,versicolor
68,Sepal.Length.and.Width,5.8/2.7,versicolor
69,Sepal.Length.and.Width,6.2/2.2,versicolor
70,Sepal.Length.and.Width,5.6/2.5,versicolor
71,Sepal.Length.and.Width,5.9/3.2,versicolor
72,Sepal.Length.and.Width,6.1/2.8,versicolor
73,Sepal.Length.and.Width,6.3/2.5,versicolor
74,Sepal.Length.and.Width,6.1/2.8,versicolor
75,Sepal.Length.and.Width,6.4/2.9,versicolor
76,Sepal.Length.and.Width,6.6/3,versicolor
77,Sepal.Length.and.Width,6.8/2.8,versicolor
78,Sepal.Length.and.Width,6.7/3,versicolor
79,Sepal.Length.and.Width,6/2.9,versicolor
80,Sepal.Length.and.Width,5.7/2.6,versicolor
81,Sepal.Length.and.Width,5.5/2.4,versicolor
82,Sepal.Length.and.Width,5.5/2.4,versicolor
83,Sepal.Length.and.Width,5.8/2.7,versicolor
84,Sepal.Length.and.Width,6/2.7,versicolor
85,Sepal.Length.and.Width,5.4/3,versicolor
86,Sepal.Length.and.Width,6/3.4,versicolor
87,Sepal.Length.and.Width,6.7/3.1,versicolor
88,Sepal.Length.and.Width,6.3/2.3,versicolor
89,Sepal.Length.and.Width,5.6/3,versicolor
90,Sepal.Length.and.Width,5.5/2.5,versicolor
91,Sepal.Length.and.Width,5.5/2.6,versicolor
92,Sepal.Length.and.Width,6.1/3,versicolor
93,Sepal.Length.and.Width,5.8/2.6,versicolor
94,Sepal.Length.and.Width,5/2.3,versicolor
95,Sepal.Length.and.Width,5.6/2.7,versicolor
96,Sepal.Length.and.Width,5.7/3,versicolor
97,Sepal.Length.and.Width,5.7/2.9,versicolor
98,Sepal.Length.and.Width,6.2/2.9,versicolor
99,Sepal.Length.and.Width,5.1/2.5,versicolor
100,Sepal.Length.and.Width,5.7/2.8,versicolor
101,Sepal.Length.and.Width,6.3/3.3,virginica
102,Sepal.Length.and.Width,5.8/2.7,virginica
103,Sepal.Length.and.Width,7.1/3,virginica
104,Sepal.Length.and.Width,6.3/2.9,virginica
105,Sepal.Length.and.Width,6.5/3,virginica
106,Sepal.Length.and.Width,7.6/3,virginica
107,Sepal.Length.and.Width,4.9/2.5,virginica
108,Sepal.Length.and.Width,7.3/2.9,virginica
109,Sepal.Length.and.Width,6.7/2.5,virginica
110,Sepal.Length.and.Width,7.2/3.6,virginica
111,Sepal.Length.and.Width,6.5/3.2,virginica
112,Sepal.Length.and.Width,6.4/2.7,virginica
113,Sepal.Length.and.Width,6.8/3,virginica
114,Sepal.Length.and.Width,5.7/2.5,virginica
115,Sepal.Length.and.Width,5.8/2.8,virginica
116,Sepal.Length.and.Width,6.4/3.2,virginica
117,Sepal.Length.and.Width,6.5/3,virginica
118,Sepal.Length.and.Width,7.7/3.8,virginica
119,Sepal.Length.and.Width,7.7/2.6,virginica
120,Sepal.Length.and.Width,6/2.2,virginica
121,Sepal.Length.and.Width,6.9/3.2,virginica
122,Sepal.Length.and.Width,5.6/2.8,virginica
123,Sepal.Length.and.Width,7.7/2.8,virginica
124,Sepal.Length.and.Width,6.3/2.7,virginica
125,Sepal.Length.and.Width,6.7/3.3,virginica
126,Sepal.Length.and.Width,7.2/3.2,virginica
127,Sepal.Length.and.Width,6.2/2.8,virginica
128,Sepal.Length.and.Width,6.1/3,virginica
129,Sepal.Length.and.Width,6.4/2.8,virginica
130,Sepal.Length.and.Width,7.2/3,virginica
131,Sepal.Length.and.Width,7.4/2.8,virginica
132,Sepal.Length.and.Width,7.9/3.8,virginica
133,Sepal.Length.and.Width,6.4/2.8,virginica
134,Sepal.Length.and.Width,6.3/2.8,virginica
135,Sepal.Length.and.Width,6.1/2.6,virginica
136,Sepal.Length.and.Width,7.7/3,virginica
137,Sepal.Length.and.Width,6.3/3.4,virginica
138,Sepal.Length.and.Width,6.4/3.1,virginica
139,Sepal.Length.and.Width,6/3,virginica
140,Sepal.Length.and.Width,6.9/3.1,virginica
141,Sepal.Length.and.Width,6.7/3.1,virginica
142,Sepal.Length.and.Width,6.9/3.1,virginica
143,Sepal.Length.and.Width,5.8/2.7,virginica
144,Sepal.Length.and.Width,6.8/3.2,virginica
145,Sepal.Length.and.Width,6.7/3.3,virginica
146,Sepal.Length.and.Width,6.7/3,virginica
147,Sepal.Length.and.Width,6.3/2.5,virginica
148,Sepal.Length.and.Width,6.5/3,virginica
149,Sepal.Length.and.Width,6.2/3.4,virginica
150,Sepal.Length.and.Width,5.9/3,virginica
1,Petal.Length.and.Width,1.4/0.2,setosa
2,Petal.Length.and.Width,1.4/0.2,setosa
3,Petal.Length.and.Width,1.3/0.2,setosa
4,Petal.Length.and.Width,1.5/0.2,setosa
5,Petal.Length.and.Width,1.4/0.2,setosa
6,Petal.Length.and.Width,1.7/0.4,setosa
7,Petal.Length.and.Width,1.4/0.3,setosa
8,Petal.Length.and.Width,1.5/0.2,setosa
9,Petal.Length.and.Width,1.4/0.2,setosa
10,Petal.Length.and.Width,1.5/0.1,setosa
11,Petal.Length.and.Width,1.5/0.2,setosa
12,Petal.Length.and.Width,1.6/0.2,setosa
13,Petal.Length.and.Width,1.4/0.1,setosa
14,Petal.Length.and.Width,1.1/0.1,setosa
15,Petal.Length.and.Width,1.2/0.2,setosa
16,Petal.Length.and.Width,1.5/0.4,setosa
17,Petal.Length.and.Width,1.3/0.4,setosa
18,Petal.Length.and.Width,1.4/0.3,setosa
19,Petal.Length.and.Width,1.7/0.3,setosa
20,Petal.Length.and.Width,1.5/0.3,setosa
21,Petal.Length.and.Width,1.7/0.2,setosa
22,Petal.Length.and.Width,1.5/0.4,setosa
23,Petal.Length.and.Width,1/0.2,setosa
24,Petal.Length.and.Width,1.7/0.5,setosa
25,Petal.Length.and.Width,1.9/0.2,setosa
26,Petal.Length.and.Width,1.6/0.2,setosa
27,Petal.Length.and.Width,1.6/0.4,setosa
28,Petal.Length.and.Width,1.5/0.2,setosa
29,Petal.Length.and.Width,1.4/0.2,setosa
30,Petal.Length.and.Width,1.6/0.2,setosa
31,Petal.Length.and.Width,1.6/0.2,setosa
32,Petal.Length.and.Width,1.5/0.4,setosa
33,Petal.Length.and.Width,1.5/0.1,setosa
34,Petal.Length.and.Width,1.4/0.2,setosa
35,Petal.Length.and.Width,1.5/0.2,setosa
36,Petal.Length.and.Width,1.2/0.2,setosa
37,Petal.Length.and.Width,1.3/0.2,setosa
38,Petal.Length.and.Width,1.4/0.1,setosa
39,Petal.Length.and.Width,1.3/0.2,setosa
40,Petal.Length.and.Width,1.5/0.2,setosa
41,Petal.Length.and.Width,1.3/0.3,setosa
42,Petal.Length.and.Width,1.3/0.3,setosa
43,Petal.Length.and.Width,1.3/0.2,setosa
44,Petal.Length.and.Width,1.6/0.6,setosa
45,Petal.Length.and.Width,1.9/0.4,setosa
46,Petal.Length.and.Width,1.4/0.3,setosa
47,Petal.Length.and.Width,1.6/0.2,setosa
48,Petal.Length.and.Width,1.4/0.2,setosa
49,Petal.Length.and.Width,1.5/0.2,setosa
50,Petal.Length.and.Width,1.4/0.2,setosa
51,Petal.Length.and.Width,4.7/1.4,versicolor
52,Petal.Length.and.Width,4.5/1.5,versicolor
53,Petal.Length.and.Width,4.9/1.5,versicolor
54,Petal.Length.and.Width,4/1.3,versicolor
55,Petal.Length.and.Width,4.6/1.5,versicolor
56,Petal.Length.and.Width,4.5/1.3,versicolor
57,Petal.Length.and.Width,4.7/1.6,versicolor
58,Petal.Length.and.Width,3.3/1,versicolor
59,Petal.Length.and.Width,4.6/1.3,versicolor
60,Petal.Length.and.Width,3.9/1.4,versicolor
61,Petal.Length.and.Width,3.5/1,versicolor
62,Petal.Length.and.Width,4.2/1.5,versicolor
63,Petal.Length.and.Width,4/1,versicolor
64,Petal.Length.and.Width,4.7/1.4,versicolor
65,Petal.Length.and.Width,3.6/1.3,versicolor
66,Petal.Length.and.Width,4.4/1.4,versicolor
67,Petal.Length.and.Width,4.5/1.5,versicolor
68,Petal.Length.and.Width,4.1/1,versicolor
69,Petal.Length.and.Width,4.5/1.5,versicolor
70,Petal.Length.and.Width,3.9/1.1,versicolor
71,Petal.Length.and.Width,4.8/1.8,versicolor
72,Petal.Length.and.Width,4/1.3,versicolor
73,Petal.Length.and.Width,4.9/1.5,versicolor
74,Petal.Length.and.Width,4.7/1.2,versicolor
75,Petal.Length.and.Width,4.3/1.3,versicolor
76,Petal.Length.and.Width,4.4/1.4,versicolor
77,Petal.Length.and.Width,4.8/1.4,versicolor
78,Petal.Length.and.Width,5/1.7,versicolor
79,Petal.Length.and.Width,4.5/1.5,versicolor
80,Petal.Length.and.Width,3.5/1,versicolor
81,Petal.Length.and.Width,3.8/1.1,versicolor
82,Petal.Length.and.Width,3.7/1,versicolor
83,Petal.Length.and.Width,3.9/1.2,versicolor
84,Petal.Length.and.Width,5.1/1.6,versicolor
85,Petal.Length.and.Width,4.5/1.5,versicolor
86,Petal.Length.and.Width,4.5/1.6,versicolor
87,Petal.Length.and.Width,4.7/1.5,versicolor
88,Petal.Length.and.Width,4.4/1.3,versicolor
89,Petal.Length.and.Width,4.1/1.3,versicolor
90,Petal.Length.and.Width,4/1.3,versicolor
91,Petal.Length.and.Width,4.4/1.2,versicolor
92,Petal.Length.and.Width,4.6/1.4,versicolor
93,Petal.Length.and.Width,4/1.2,versicolor
94,Petal.Length.and.Width,3.3/1,versicolor
95,Petal.Length.and.Width,4.2/1.3,versicolor
96,Petal.Length.and.Width,4.2/1.2,versicolor
97,Petal.Length.and.Width,4.2/1.3,versicolor
98,Petal.Length.and.Width,4.3/1.3,versicolor
99,Petal.Length.and.Width,3/1.1,versicolor
100,Petal.Length.and.Width,4.1/1.3,versicolor
101,Petal.Length.and.Width,6/2.5,virginica
102,Petal.Length.and.Width,5.1/1.9,virginica
103,Petal.Length.and.Width,5.9/2.1,virginica
104,Petal.Length.and.Width,5.6/1.8,virginica
105,Petal.Length.and.Width,5.8/2.2,virginica
106,Petal.Length.and.Width,6.6/2.1,virginica
107,Petal.Length.and.Width,4.5/1.7,virginica
108,Petal.Length.and.Width,6.3/1.8,virginica
109,Petal.Length.and.Width,5.8/1.8,virginica
110,Petal.Length.and.Width,6.1/2.5,virginica
111,Petal.Length.and.Width,5.1/2,virginica
112,Petal.Length.and.Width,5.3/1.9,virginica
113,Petal.Length.and.Width,5.5/2.1,virginica
114,Petal.Length.and.Width,5/2,virginica
115,Petal.Length.and.Width,5.1/2.4,virginica
116,Petal.Length.and.Width,5.3/2.3,virginica
117,Petal.Length.and.Width,5.5/1.8,virginica
118,Petal.Length.and.Width,6.7/2.2,virginica
119,Petal.Length.and.Width,6.9/2.3,virginica
120,Petal.Length.and.Width,5/1.5,virginica
121,Petal.Length.and.Width,5.7/2.3,virginica
122,Petal.Length.and.Width,4.9/2,virginica
123,Petal.Length.and.Width,6.7/2,virginica
124,Petal.Length.and.Width,4.9/1.8,virginica
125,Petal.Length.and.Width,5.7/2.1,virginica
126,Petal.Length.and.Width,6/1.8,virginica
127,Petal.Length.and.Width,4.8/1.8,virginica
128,Petal.Length.and.Width,4.9/1.8,virginica
129,Petal.Length.and.Width,5.6/2.1,virginica
130,Petal.Length.and.Width,5.8/1.6,virginica
131,Petal.Length.and.Width,6.1/1.9,virginica
132,Petal.Length.and.Width,6.4/2,virginica
133,Petal.Length.and.Width,5.6/2.2,virginica
134,Petal.Length.and.Width,5.1/1.5,virginica
135,Petal.Length.and.Width,5.6/1.4,virginica
136,Petal.Length.and.Width,6.1/2.3,virginica
137,Petal.Length.and.Width,5.6/2.4,virginica
138,Petal.Length.and.Width,5.5/1.8,virginica
139,Petal.Length.and.Width,4.8/1.8,virginica
140,Petal.Length.and.Width,5.4/2.1,virginica
141,Petal.Length.and.Width,5.6/2.4,virginica
142,Petal.Length.and.Width,5.1/2.3,virginica
143,Petal.Length.and.Width,5.1/1.9,virginica
144,Petal.Length.and.Width,5.9/2.3,virginica
145,Petal.Length.and.Width,5.7/2.5,virginica
146,Petal.Length.and.Width,5.2/2.3,virginica
147,Petal.Length.and.Width,5/1.9,virginica
148,Petal.Length.and.Width,5.2/2,virginica
149,Petal.Length.and.Width,5.4/2.3,virginica
150,Petal.Length.and.Width,5.1/1.8,virginica
